Hospital Name,Hospital Type,Hospital Ownership,Emergency Services
SAINT MARY'S REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAINT ROSE DOMINICAN HOSPITAL - DE LIMA,Acute Care Hospitals,Voluntary non-profit - Church,Yes
CARSON TAHOE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NYE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
VALLEY HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
DESERT SPRINGS HOSPITAL,Acute Care Hospitals,Proprietary,Yes
VA SIERRA NEVADA HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
NORTHERN NEVADA MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MOUNTAINVIEW HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SUMMERLIN HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SAINT ROSE DOMINICAN HOSPITAL - SIENA CAMPUS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SPRING VALLEY HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
RENOWN SOUTH MEADOWS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SIERRA SURGERY HOSPITAL,Acute Care Hospitals,Proprietary,No
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,Acute Care Hospitals,Voluntary non-profit - Church,Yes
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MOUNT GRANT GENERAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
INCLINE VILLAGE HEALTH CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
WILLIAM BEE RIRIE HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
BATTLE MOUNTAIN GENERAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
PERSHING GENERAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
CARSON VALLEY MEDICAL CENTER,Critical Access Hospitals,Proprietary,Yes
MESA VIEW REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
HUMBOLDT GENERAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
BOULDER CITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
DESERT VIEW REGIONAL MEDICAL CENTER,Critical Access Hospitals,Proprietary,Yes
GROVER C DILS MEDICAL CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
CONCORD HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MARY HITCHCOCK MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LAKES REGION GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST JOSEPH HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ELLIOT HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
FRISBIE MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PARKLAND MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
WENTWORTH-DOUGLASS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CHESHIRE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SOUTHERN NH MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
EXETER HOSPITAL INC,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PORTSMOUTH REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
CATHOLIC MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UPPER CONNECTICUT VALLEY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
COTTAGE HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
LITTLETON REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WEEKS MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
NEW LONDON HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ALICE PECK DAY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
FRANKLIN REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
"MEMORIAL HOSPITAL, THE",Critical Access Hospitals,Voluntary non-profit - Private,Yes
VALLEY REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MONADNOCK COMMUNITY HOSPITAL,Critical Access Hospitals,Proprietary,Yes
ANDROSCOGGIN VALLEY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
SPEARE MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
HUGGINS HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
HACKENSACK UNIVERSITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NEWARK BETH ISRAEL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PALISADES MEDICAL CTR-NY PRESBYTERIAN HEALTHCARE S,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HUNTERDON MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"ST MARY'S HOSPITAL, PASSAIC",Acute Care Hospitals,Voluntary non-profit - Church,Yes
HOLY NAME MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
CLARA MAASS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CAPE REGIONAL MEDICAL CENTER INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
VALLEY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COOPER UNIVERSITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MORRISTOWN MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CHRIST HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
CHILTON HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST JOSEPH'S REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
VA NEW JERSEY HEALTH CARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
ST FRANCIS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
VIRTUA WEST JERSEY HOSPITALS BERLIN,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAYONNE HOSPITAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
TRINITAS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NEWTON MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
OUR LADY OF LOURDES MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
DEBORAH HEART AND LUNG CENTER,Acute Care Hospitals,Voluntary non-profit - Private,No
SOUTH JERSEY HEALTHCARE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
RIVERVIEW MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
RARITAN BAY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HOBOKEN UNIVERSITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
COMMUNITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SHORE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SOMERSET MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAINT CLARE'S HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
OVERLOOK HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
OCEAN MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MOUNTAINSIDE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BERGEN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
ST LUKE'S WARREN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SOUTH JERSEY HEALTHCARE-ELMER HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAINT PETER'S UNIVERSITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
JERSEY SHORE UNIVERSITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LIBERTYHEALTH-JERSEY CITY MEDICAL CENTER CAMPUS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MONMOUTH MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAINT BARNABAS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
UNDERWOOD - MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
EAST ORANGE GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
KIMBALL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MEMORIAL HOSPITAL OF SALEM COUNTY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CAPITAL HEALTH SYSTEM-FULD CAMPUS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"SAINT MICHAEL'S MEDICAL CENTER, INC",Acute Care Hospitals,Voluntary non-profit - Private,Yes
JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CENTRASTATE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAYSHORE COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
SOUTHERN OCEAN MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HACKETTSTOWN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MEADOWLANDS HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UMDNJ UNIVERSITY HOSPITAL,Acute Care Hospitals,Government - State,Yes
SAINT CLARE'S HOSPITAL/SUSSEX,Acute Care Hospitals,Voluntary non-profit - Church,Yes
UNM HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
ST VINCENT HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ALTA VISTA REGIONAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
GERALD CHAMPION REGIONAL MEDICAL CENTE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAN JUAN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
EASTERN NEW MEXICO MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
LOVELACE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ESPANOLA HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MIMBRES MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
GILA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
LOVELACE WOMEN'S HOSPITAL,Acute Care Hospitals,Government - State,Yes
MEMORIAL MEDICAL CENTER INC,Acute Care Hospitals,Government - State,Yes
PRESBYTERIAN HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
PLAINS REGIONAL MEDICAL CENTER  CLOVIS,Acute Care Hospitals,Government - Federal,Yes
ARTESIA GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LOS ALAMOS MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
REHOBOTH MCKINLEY CHRISTIAN HEALTH SER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SANTA FE PHS INDIAN HOSPITAL,Acute Care Hospitals,Government - Federal,No
MESCALERO PHS INDIAN HOSPITAL,Acute Care Hospitals,Government - Federal,Yes
NORTHERN NAVAJO MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes
VA NEW MEXICO HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,Acute Care Hospitals,Government - Federal,Yes
GALLUP INDIAN MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes
CROWNPOINT HEALTHCARE FACILITY,Acute Care Hospitals,Government - Federal,Yes
CARLSBAD MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
LEA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
GUADALUPE COUNTY HOSPITAL,Acute Care Hospitals,Government - Local,Yes
DHHS USPHS INDIAN HEALTH SERVICES,Acute Care Hospitals,Government - Federal,Yes
LOVELACE WESTSIDE HOSPITAL,Acute Care Hospitals,Government - Federal,Yes
HEART HOSPITAL OF NEW MEXICO,Acute Care Hospitals,Proprietary,Not Available
ROOSEVELT GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MOUNTAIN VIEW REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LOVELACE REGIONAL HOSPITAL - ROSWELL,Acute Care Hospitals,Government Federal,Yes
PHYSICIANS MEDICAL CENTER OF SANTA FE,Acute Care Hospitals,Government-Federal,Not Available
SIERRA VISTA HOSPITAL,Critical Access Hospitals,Government - Local,Yes
SOCORRO GENERAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
DR DAN C TRIGG MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
UNION COUNTY GENERAL HOSPITAL,Critical Access Hospitals,Proprietary,Yes
NOR LEA GENERAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
LINCOLN COUNTY MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MINERS' COLFAX MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
CIBOLA GENERAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PENINSULA HOSPITAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ALBANY MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
KINGSTON HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,No
KALEIDA HEALTH,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ST JOSEPH'S MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
WYOMING COUNTY COMMUNITY HOSPITAL,Acute Care Hospitals,Government - Local,Yes
BRONX-LEBANON HOSPITAL CENTER,Acute Care Hospitals,Proprietary,Yes
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",Acute Care Hospitals,Voluntary non-profit - Private,Yes
ALBANY MEDICAL CENTER HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JAMAICA HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",Acute Care Hospitals,Voluntary non-profit - Private,Yes
VASSAR BROTHERS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MOUNT SINAI HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NASSAU UNIVERSITY MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
RICHMOND UNIVERSITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SHEEHAN MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,No
NEWARK-WAYNE COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"CHENANGO MEMORIAL HOSPITAL, INC",Acute Care Hospitals,Voluntary non-profit - Private,Yes
LAKESIDE MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SOUTHSIDE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
FAXTON-ST LUKE'S HEALTHCARE,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HUNTINGTON HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST LUKE'S ROOSEVELT HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST MARY'S HOSPITAL AT AMSTERDAM,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NORTHERN DUTCHESS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MEDINA MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST PETER'S HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
GENEVA GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MONTEFIORE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LAWRENCE HOSPITAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
NEW YORK DOWNTOWN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NIAGARA FALLS MEMORIAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ST FRANCIS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UNITED MEMORIAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
F F THOMPSON HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SISTERS OF CHARITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ADIRONDACK MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LINCOLN MEDICAL & MENTAL HEALTH CENTER,Acute Care Hospitals,Government - Local,Yes
ALICE HYDE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
AURELIA OSBORN FOX MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MOUNT VERNON HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
EASTERN LONG ISLAND HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ARNOT OGDEN MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COLUMBIA MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JONES MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ALBANY VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
NY EYE AND EAR INFIRMARY,Acute Care Hospitals,Voluntary non-profit - Private,No
NEW YORK-PRESBYTERIAN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
KENMORE MERCY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
OLEAN GENERAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
NYACK HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
NORTH SHORE UNIVERSITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PECONIC BAY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"ST JOSEPH'S HOSPITAL, INC",Acute Care Hospitals,Voluntary non-profit - Private,Yes
BERTRAND CHAFFEE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ONEIDA HEALTHCARE CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LENOX HILL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BATH VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
ROCHESTER GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ORANGE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JACOBI MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
ELMHURST HOSPITAL CENTER,Acute Care Hospitals,Government - Local,Yes
UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM),ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
TLC HEALTH NETWORK,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BON SECOURS COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MARY IMOGENE BASSETT HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CANANDAIGUA VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
ST JOSEPH'S HOSPITAL HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"IRA DAVENPORT MEMORIAL HOSPITAL, INC",Acute Care Hospitals,Voluntary non-profit - Other,Yes
ST JAMES MERCY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
LONG ISLAND COLLEGE HOSPITAL,Acute Care Hospitals,Voluntary non-profit-Private,Not Available
ELLIS HOSPITAL,Acute Care Hospitals,Proprietary,Yes
SAMARITAN MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
GOOD SAMARITAN HOSPITAL OF SUFFERN,Acute Care Hospitals,Voluntary non-profit - Church,Yes
COMMUNITY-GENERAL HOSPITAL OF GREATER SYRACUSE,Acute Care Hospitals,Voluntary non-profit-Private,Not Available
VA HUDSON VALLEY HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
